GSL_ID,NAME,SUB_NAME,ADDR,CITY,STATE,ZIP,TYPE_CNTRL,YR_1,NBD_1,NBR_1,DRATE_1,AVG_1,PRATE_1,YR_2,NBD_2,NBR_2,DRATE_2,AVG_2,PRATE_2,YR_3,NBD_3,NBR_3,DRATE_3,AVG_3,PRATE_3,FLAG_1,FLAG_2,PRGMS,CONG_DIST,REGION
021540,DIVERS ACADEMY OF THE EASTERN SEABO,ARD,2500 BROADWAY,CAMDEN,NJ,08104,600 hr/Prop,95,         9,       111,8.1,,FL,94,        10,       113,8.8,,FL,93,         2,        66,3,,FL,,,B,01,02
022198,METROPOLITAN TECHNICAL INSTITUTE,,11 DANIEL RD,FAIRFIELD,NJ,07006,2 yr/Prop,95,         4,        52,7.7,,FL,94,         2,        44,4.5,,FL,93,         3,        46,6.5,,FL,,,F,11,02
021468,JOE KUBERT SCHOOL OF CARTOON & GRAP,HIC ART (THE),37 MYRTLE AVE,DOVER,NJ,07801,1 yr/Prop,95,         3,        40,7.5,,FL,94,         7,        53,13.2,,FL,93,         1,        53,1.9,,FL,,,F,11,02
002621,NEW JERSEY INSTITUTE OF TECHNOLOGY,,323 MARTIN LUTHER KING BLVD.,NEWARK,NJ,07102,5 yr/Pub,95,        39,       523,7.5,,FL,94,        35,       420,8.3,,FL,93,        30,       344,8.7,,FL,,,B,10,02
010465,LEARNING INSTITUTE FOR BEAUTY SCIEN,CES,45 SUNSET STRIP,SUCCASUNNA,NJ,07876,1 yr/Prop,95,         4,        56,7.1,,FL,94,        12,        84,14.3,,FL,93,        14,        68,20.6,,FL,,,B,11,02
022196,OMEGA INSTITUTE,,"CINNAMINSON MALL, RT. 130 S.",CINNAMINSON,NJ,08077,1 yr/Prop,95,         6,        85,7.1,,FL,94,        16,        85,18.8,,FL,93,        24,       116,20.7,,FL,,,B,01,02
002609,ROWAN COLLEGE OF NEW JERSEY,,201 MULLICA HILL ROAD,GLASBORO,NJ,08028,5 yr/Pub,95,        66,       931,7.1,,DU,94,        57,       564,10.1,,FL,93,        55,       525,10.5,,FL,C,,D,02,02
002632,SETON HALL UNIVERSITY,,400 SOUTH ORANGE AVENUE,SOUTH ORANGE,NJ,07079,5 yr/Priv,95,        98,      1394,7,,DU,94,        99,      1891,5.2,,FL,93,        80,      1614,5,,FL,C,,D,08,02
026164,ULTRASOUND DIAGNOSTIC SCHOOL,,675 US ROUTE 1 SOUTH,ISELIN,NJ,08830,1 yr/Prop,95,         6,        86,7,,FL,94,         4,       110,3.6,,FL,93,        11,       124,8.9,,FL,,,F,07,02
002600,COLLEGE OF SAINT ELIZABETH,,2 CONVENT ROAD,MORRISTOWN,NJ,07960,5 yr/Priv,95,         5,        77,6.5,,FL,94,         7,        73,9.6,,FL,93,         6,        59,10.2,,FL,,,F,11,02
009345,RICHARD STOCKTON COLLEGE OF NEW JER,SEY,JIMMIE LEEDS ROAD,POMONA,NJ,08240,5 yr/Pub,95,        40,       627,6.4,,FL,94,        43,       476,9,,FL,93,        34,       356,9.6,,FL,,,B,02,02
