OPE_ID,SCH_NM,YEAR,SANC_DESC,REAS_DESC
00549100,KY Tech - Paducah Area Technology Center,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
00549300,Madisonville Technical College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
00867600,Kentucky Technical - Green County Area Vocational Education Center,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01259100,Marion County Area Technology Center,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02493400,Alexandria Academy of Beauty Culture,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
00462100,Ayers Institute,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02263600,Bastrop Beauty School #1,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02133900,Bayou Techl Inst,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02572300,Clark College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
00492400,Forrest Junior College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02307900,Mangums Barber & Hairstyling College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02580300,Mansfield School of Business,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02348300,Piedmont College of Hair Design,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02277600,International Barber & Style College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02255000,Knoxville Institute of Hair Design,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02144700,Medical Career College,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01127700,Aladdin Beauty College #1,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01100800,Aladdin Beauty College #2,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
00988400,Aladdin Beauty College #4,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01306600,Aladdin Beauty College #5,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
