OPE_ID,NAME,ADDR,CITY,ST_CD,ST_DESC,ZIP,ZIP_EXT,Country,PGM_LEN,SCH_TYPE,YR_1,NBD_1,NBR_1,DRATE_1,AVG_1,PRATE_1,YR_2,NBD_2,NBR_2,DRATE_2,AVG_2,PRATE_2,YR_3,NBD_3,NBR_3,DRATE_3,AVG_3,PRATE_3,ETH_CERT,PROGRAM,CON_DIST,REGION,AVGOR_GE30
032963,Baltimore School of Massage,517  Progress Drive,Linthicum,MD,Maryland,21090,2261,,Non-Degree 1 Year (900-1799 hours),Prop,2003,15,439,3.4,,DL,2002,12,349,3.4,,DL,2001,2,102,1.9,,DL,,B,07,03,1
002096,Saint Mary's Seminary & University,5400 Roland Avenue,Baltimore,MD,Maryland,21210,1994,,Master's Degree or Doctor's Degree,Priv,2003,0,14,3.2,*,FL,2002,0,9,3.7,*,FL,2001,1,8,3.7,*,FL,,F,03,03,1
011644,University of Maryland University College,3501 University Boulevard East,Adelphi,MD,Maryland,20783,8078,,Master's Degree or Doctor's Degree,Pub,2003,89,2952,3,,DU,2002,100,2626,3.8,,DU,2001,106,2336,4.5,,DU,,B,04,03,1
002080,Maryland Institute College of Art,1300 West Mount Royal Avenue,Baltimore,MD,Maryland,21217,4191,,Master's Degree or Doctor's Degree,Priv,2003,9,303,2.9,,FL,2002,4,311,1.2,,FL,2001,5,274,1.8,,FL,,F,07,03,1
002089,Prince George's Community College,301 Largo Road,Largo,MD,Maryland,20774,2199,,Associate's Degree,Pub,2003,12,402,2.9,,FL,2002,27,432,6.2,,FL,2001,28,504,5.5,,FL,,F,04,03,1
002057,Allegany College of Maryland,12401 Willow Brook Road Southeast,Cumberland,MD,Maryland,21502,2596,,Associate's Degree,Pub,2003,13,456,2.8,,FL,2002,21,402,5.2,,FL,2001,19,416,4.5,,FL,,F,06,03,1
002071,Frederick Community College,7932 Opossumtown Pike,Frederick,MD,Maryland,21702,9745,,Associate's Degree,Pub,2003,3,120,2.5,,FL,2002,6,122,4.9,,FL,2001,3,162,1.8,,FL,,F,06,03,1
024951,Maryland Beauty Academy,152 Chartley Drive,Reistertown,MD,Maryland,21136,2331,,Non-Degree 1 Year (900-1799 hours),Prop,2003,1,20,2.5,*,DL,2002,0,14,0,*,DL,2001,0,6,0,*,DL,,B,03,03,1
008175,Howard Community College,10901 Little Patuxent Parkway,Columbia,MD,Maryland,21044,3197,,Associate's Degree,Pub,2003,5,213,2.3,,FL,2002,3,252,1.1,,FL,2001,3,268,1.1,,FL,,F,07,03,1
002072,Frostburg State University,101 Braddock Road,Frostburg,MD,Maryland,21532,1099,,Master's Degree or Doctor's Degree,Pub,2003,23,1013,2.2,,DU,2002,27,945,2.8,,DU,2001,25,999,2.5,,DU,,F,06,03,1
