opeid	name	year	imputed_recipients	imputed_pell_ind
908800	Itt Technical Institute	2004	1469	1
1062700	Itt Technical Institute	2004	2513	1
1185200	Itt Technical Institute	2004	1253	1
2065200	Itt Technical Institute	2004	1961	1
2120900	Itt Technical Institute	2004	925	1
2291500	Itt Technical Institute	2004	1381	1
2291600	Itt Technical Institute	2004	914	1
2321700	Itt Technical Institute	2004	1622	1
2321800	Itt Technical Institute	2004	1286	1
2321900	Itt Technical Institute	2004	661	1
2328600	Itt Technical Institute	2004	1133	1
2328700	Itt Technical Institute	2004	0	1
2359800	Itt Technical Institute	2004	2430	1
2361000	Itt Technical Institute	2004	1524	1
2361100	Itt Technical Institute	2004	1182	1
455300	Itt Technical Institute	2005	1682	1
732700	Itt Technical Institute	2005	3988	1
732900	Itt Technical Institute -	2005	5704	1
832900	Itt Technical Institute	2005	2765	1
844300	Itt Technical Institute	2005	1022	1
908800	Itt Technical Institute	2005	1630	1
1062700	Itt Technical Institute	2005	2790	1
1185200	Itt Technical Institute	2005	1391	1
2065200	Itt Technical Institute	2005	2177	1
2120900	Itt Technical Institute	2005	1027	1
2291500	Itt Technical Institute	2005	1533	1
2291600	Itt Technical Institute	2005	1014	1
2321700	Itt Technical Institute	2005	1800	1
2321800	Itt Technical Institute	2005	1427	1
2321900	Itt Technical Institute	2005	734	1
2328600	Itt Technical Institute	2005	1257	1
2328700	Itt Technical Institute	2005	0	1
2359800	Itt Technical Institute	2005	2697	1
2361000	Itt Technical Institute	2005	1692	1
2361100	Itt Technical Institute	2005	1312	1
455300	Itt Technical Institute	2006	1690	1
732700	Itt Technical Institute	2006	4006	1
732900	Itt Technical Institute -	2006	5729	1
832900	Itt Technical Institute	2006	2777	1
844300	Itt Technical Institute	2006	1027	1
908800	Itt Technical Institute	2006	1638	1
1062700	Itt Technical Institute	2006	2802	1
1185200	Itt Technical Institute	2006	1397	1
2065200	Itt Technical Institute	2006	2187	1
2120900	Itt Technical Institute	2006	1032	1
2291500	Itt Technical Institute	2006	1539	1
2291600	Itt Technical Institute	2006	1019	1
2321700	Itt Technical Institute	2006	1808	1
2321800	Itt Technical Institute	2006	1433	1
2321900	Itt Technical Institute	2006	737	1
2328600	Itt Technical Institute	2006	1263	1
2328700	Itt Technical Institute	2006	0	1
2359800	Itt Technical Institute	2006	2709	1
2361000	Itt Technical Institute	2006	1699	1
2361100	Itt Technical Institute	2006	1318	1
455300	Itt Technical Institute	2009	2484	1
732700	Itt Technical Institute	2009	6025	1
732900	Itt Technical Institute	2009	8022	1
832900	Itt Technical Institute	2009	4318	1
844300	Itt Technical Institute	2009	1458	1
908800	Itt Technical Institute	2009	2464	1
1062700	Itt Technical Institute	2009	3786	1
1185200	Itt Technical Institute	2009	1879	1
2065200	Itt Technical Institute	2009	3167	1
2120900	Itt Technical Institute	2009	1576	1
2291500	Itt Technical Institute	2009	2061	1
2291600	Itt Technical Institute	2009	1721	1
2321700	Itt Technical Institute	2009	2410	1
2321800	Itt Technical Institute	2009	1825	1
2321900	Itt Technical Institute	2009	1078	1
2328600	Itt Technical Institute	2009	1604	1
2328700	Itt Technical Institute	2009	0	1
2359800	Itt Technical Institute	2009	4036	1
2361000	Itt Technical Institute	2009	2388	1
2361100	Itt Technical Institute	2009	1879	1
455300	Itt Technical Institute	2010	3420	1
732700	Itt Technical Institute	2010	8294	1
732900	Itt Technical Institute	2010	11042	1
832900	Itt Technical Institute	2010	5943	1
844300	Itt Technical Institute	2010	2007	1
908800	Itt Technical Institute	2010	3392	1
1062700	Itt Technical Institute	2010	5212	1
1185200	Itt Technical Institute	2010	2587	1
2065200	Itt Technical Institute	2010	4360	1
2120900	Itt Technical Institute	2010	2169	1
2291500	Itt Technical Institute	2010	2837	1
2291600	Itt Technical Institute	2010	2370	1
2321700	Itt Technical Institute	2010	3318	1
2321800	Itt Technical Institute	2010	2513	1
2321900	Itt Technical Institute	2010	1484	1
2328600	Itt Technical Institute	2010	2207	1
2328700	Itt Technical Institute	2010	0	1
2359800	Itt Technical Institute	2010	5556	1
2361000	Itt Technical Institute	2010	3288	1
2361100	Itt Technical Institute	2010	2587	1
